genome	gyrB	dnaG	frr	infC	nusA	pgk	pyrG	rplA	rplB	rplC	rplD	rplE	rplF	rplK	rplL	rplM	rplN	rplP	rplS	rplT	rpmA	rpoB	rpsB	rpsC	rpsE	rpsI	rpsJ	rpsK	rpsM	rpsS	smpB	tsf
GUT_GENOME009256	GUT_GENOME009256_01822	GUT_GENOME009256_01850	GUT_GENOME009256_00921	GUT_GENOME009256_01371	GUT_GENOME009256_01827	GUT_GENOME279989_00613	GUT_GENOME009256_01794	GUT_GENOME009256_01803	GUT_GENOME113709_00424	GUT_GENOME009256_00485	GUT_GENOME113709_00426	GUT_GENOME279989_00067	GUT_GENOME009256_00500	GUT_GENOME126180_01754	GUT_GENOME113709_01827,GUT_GENOME009256_01001	GUT_GENOME113709_00281	GUT_GENOME126180_00559	GUT_GENOME244953_00167	GUT_GENOME244953_00058	GUT_GENOME247404_01061	GUT_GENOME247404_01715	GUT_GENOME013062_01110	GUT_GENOME279989_01590	GUT_GENOME008347_00235		GUT_GENOME009256_00613	GUT_GENOME126180_01741	GUT_GENOME009256_00619	GUT_GENOME009256_00620	GUT_GENOME279989_00059	GUT_GENOME009256_00956	GUT_GENOME009256_01024
GUT_GENOME238203	GUT_GENOME238203_00261			GUT_GENOME238203_00208		GUT_GENOME238203_01223		GUT_GENOME238203_00007	GUT_GENOME238203_00579	GUT_GENOME238203_00925		GUT_GENOME238203_00372	GUT_GENOME238203_01418	GUT_GENOME238203_00008	GUT_GENOME238203_00220	GUT_GENOME238203_00610	GUT_GENOME238203_00374	GUT_GENOME238203_00377	GUT_GENOME238203_01560	GUT_GENOME238203_00210	GUT_GENOME238203_00004	GUT_GENOME238203_00218		GUT_GENOME238203_01350	GUT_GENOME238203_01420	GUT_GENOME238203_00611	GUT_GENOME238203_00926	GUT_GENOME238203_00060	GUT_GENOME238203_00059	GUT_GENOME238203_00578	GUT_GENOME238203_01486	GUT_GENOME238203_00423
GUT_GENOME246915	GUT_GENOME246915_00141	GUT_GENOME246915_00929	GUT_GENOME246915_01596	GUT_GENOME082811_00444	GUT_GENOME246915_00178	GUT_GENOME246915_00247	GUT_GENOME246915_01604	GUT_GENOME246915_01647	GUT_GENOME082811_00348	GUT_GENOME082811_00351	GUT_GENOME246915_00288	GUT_GENOME246915_00277	GUT_GENOME246915_00274	GUT_GENOME246915_01646	GUT_GENOME246915_01649	GUT_GENOME082811_01134	GUT_GENOME246915_00279	GUT_GENOME082811_00344	GUT_GENOME246915_01168	GUT_GENOME246915_01577		GUT_GENOME082811_00132	GUT_GENOME246915_01599	GUT_GENOME082811_00345	GUT_GENOME246915_00272	GUT_GENOME194902_01035	GUT_GENOME194902_00086	GUT_GENOME246915_00267	GUT_GENOME082811_00330	GUT_GENOME082811_00347	GUT_GENOME246915_00021	GUT_GENOME246915_01598
GUT_GENOME082811	GUT_GENOME082811_01417	GUT_GENOME082811_01588	GUT_GENOME082811_00767	GUT_GENOME082811_00444	GUT_GENOME082811_00696	GUT_GENOME082811_00972	GUT_GENOME082811_00764	GUT_GENOME082811_00129	GUT_GENOME082811_00348	GUT_GENOME082811_00351	GUT_GENOME246915_00288	GUT_GENOME246915_00277	GUT_GENOME082811_00336	GUT_GENOME246915_01646	GUT_GENOME025525_00499	GUT_GENOME082811_01134	GUT_GENOME246915_00279	GUT_GENOME082811_00344	GUT_GENOME246915_01168	GUT_GENOME246915_01577	GUT_GENOME082811_00101	GUT_GENOME082811_00132	GUT_GENOME246915_01599	GUT_GENOME082811_00345	GUT_GENOME246915_00272	GUT_GENOME194902_01035	GUT_GENOME194902_00086	GUT_GENOME246915_00267	GUT_GENOME082811_00330	GUT_GENOME082811_00347	GUT_GENOME082811_00642	GUT_GENOME082811_00769
GUT_GENOME113709	GUT_GENOME113709_01009	GUT_GENOME113709_01201	GUT_GENOME113709_00542	GUT_GENOME113709_00626	GUT_GENOME113709_01049	GUT_GENOME113709_00355	GUT_GENOME113709_01637	GUT_GENOME113709_01059	GUT_GENOME113709_00424	GUT_GENOME009256_00485	GUT_GENOME113709_00426	GUT_GENOME139634_01218	GUT_GENOME113709_00412	GUT_GENOME126180_01754	GUT_GENOME113709_01827,GUT_GENOME113709_01826,GUT_GENOME113709_01825	GUT_GENOME113709_00281	GUT_GENOME126180_00559	GUT_GENOME126180_00556	GUT_GENOME126180_00068	GUT_GENOME113709_01169	GUT_GENOME008347_01450	GUT_GENOME113709_00959	GUT_GENOME113709_00938	GUT_GENOME113709_00421		GUT_GENOME113709_00280	GUT_GENOME126180_01741	GUT_GENOME113709_00286	GUT_GENOME009256_00620	GUT_GENOME279989_00059	GUT_GENOME113709_01649	GUT_GENOME008347_01017
GUT_GENOME008347	GUT_GENOME008347_01057	GUT_GENOME008347_00849	GUT_GENOME008347_01802	GUT_GENOME008347_01314	GUT_GENOME253114_01403	GUT_GENOME244953_01078	GUT_GENOME253114_00766	GUT_GENOME009256_01803	GUT_GENOME247404_01230	GUT_GENOME009256_00485	GUT_GENOME008347_00240	GUT_GENOME279989_00067	GUT_GENOME253114_01617	GUT_GENOME126180_01754	GUT_GENOME008347_01457,GUT_GENOME253114_01328	GUT_GENOME113709_00281	GUT_GENOME126180_00559	GUT_GENOME244953_00167	GUT_GENOME244953_00058	GUT_GENOME244953_01316	GUT_GENOME008347_01450	GUT_GENOME008347_00969	GUT_GENOME253114_00570	GUT_GENOME008347_00235		GUT_GENOME113709_00280	GUT_GENOME126180_01741	GUT_GENOME113709_00286	GUT_GENOME253114_00225	GUT_GENOME279989_00059	GUT_GENOME008347_01868	GUT_GENOME008347_01017
GUT_GENOME253114	GUT_GENOME008347_01057		GUT_GENOME008347_01802		GUT_GENOME253114_01403	GUT_GENOME244953_01078	GUT_GENOME253114_00766	GUT_GENOME247404_00183	GUT_GENOME247404_01230	GUT_GENOME009256_00485	GUT_GENOME008347_00240	GUT_GENOME279989_00067	GUT_GENOME253114_01617	GUT_GENOME126180_01754	GUT_GENOME008347_01457,GUT_GENOME253114_01328	GUT_GENOME113709_00281	GUT_GENOME126180_00559	GUT_GENOME253114_01628	GUT_GENOME244953_00058	GUT_GENOME244953_01316	GUT_GENOME008347_01450		GUT_GENOME253114_00570			GUT_GENOME009256_00613	GUT_GENOME126180_01741	GUT_GENOME113709_00286	GUT_GENOME253114_00225	GUT_GENOME279989_00059	GUT_GENOME253114_00778	GUT_GENOME008347_01017
GUT_GENOME232848	GUT_GENOME232848_01845,GUT_GENOME232848_01080	GUT_GENOME232848_02038	GUT_GENOME232848_02040	GUT_GENOME232848_00588			GUT_GENOME232848_01926		GUT_GENOME232848_00290	GUT_GENOME232848_00293	GUT_GENOME232848_00292			GUT_GENOME232848_02148	GUT_GENOME232848_01954	GUT_GENOME232848_00369	GUT_GENOME232848_01188		GUT_GENOME232848_01769	GUT_GENOME232848_01243	GUT_GENOME232848_01648	GUT_GENOME232848_01046	GUT_GENOME232848_01314		GUT_GENOME232848_00915	GUT_GENOME232848_00370	GUT_GENOME234141_01732	GUT_GENOME232848_02376	GUT_GENOME281138_00498	GUT_GENOME232848_00289	GUT_GENOME232848_01116	
GUT_GENOME281138	GUT_GENOME281138_01828,GUT_GENOME281138_00557	GUT_GENOME281138_01524	GUT_GENOME281138_01750	GUT_GENOME281138_01305			GUT_GENOME281138_01812	GUT_GENOME281138_00744	GUT_GENOME281138_01356	GUT_GENOME281138_01353	GUT_GENOME281138_01354	GUT_GENOME281138_01772	GUT_GENOME281138_01774	GUT_GENOME281138_00743	GUT_GENOME281138_00746	GUT_GENOME281138_00531	GUT_GENOME281138_01364	GUT_GENOME281138_01361	GUT_GENOME281138_01030	GUT_GENOME281138_01389	GUT_GENOME234141_00124	GUT_GENOME281138_00747	GUT_GENOME281138_00952	GUT_GENOME281138_01360		GUT_GENOME281138_00532	GUT_GENOME234141_01732	GUT_GENOME281138_00497	GUT_GENOME281138_00498	GUT_GENOME281138_01357	GUT_GENOME281138_01838	GUT_GENOME281138_00951
GUT_GENOME142411	GUT_GENOME040420_01478,GUT_GENOME142411_00178	GUT_GENOME142411_00471	GUT_GENOME142411_00817	GUT_GENOME142411_02444	GUT_GENOME143202_00767		GUT_GENOME040420_01926	GUT_GENOME142411_00098	GUT_GENOME040420_01290	GUT_GENOME113322_00045	GUT_GENOME040420_01288	GUT_GENOME142411_00994	GUT_GENOME113322_02031	GUT_GENOME115272_01847	GUT_GENOME142411_00100	GUT_GENOME040420_02269	GUT_GENOME115272_00415	GUT_GENOME113322_00037	GUT_GENOME142411_01979	GUT_GENOME113322_00451	GUT_GENOME143197_01313	GUT_GENOME143202_00683	GUT_GENOME040420_00779	GUT_GENOME142411_00927		GUT_GENOME142411_02417	GUT_GENOME040420_01286	GUT_GENOME143197_01359	GUT_GENOME143197_01358	GUT_GENOME113322_00041	GUT_GENOME142411_00531	GUT_GENOME142411_00295
GUT_GENOME113322	GUT_GENOME143197_01942,GUT_GENOME113322_01125	GUT_GENOME143211_00825	GUT_GENOME142411_00817	GUT_GENOME143211_00938	GUT_GENOME143202_00767		GUT_GENOME113322_01623	GUT_GENOME142411_00098	GUT_GENOME040420_01290	GUT_GENOME113322_00045	GUT_GENOME040420_01288	GUT_GENOME142411_00994	GUT_GENOME113322_02031	GUT_GENOME115272_01847	GUT_GENOME142411_00100	GUT_GENOME040420_02269	GUT_GENOME115272_00415	GUT_GENOME113322_00037	GUT_GENOME142411_01979	GUT_GENOME113322_00451	GUT_GENOME143197_01313	GUT_GENOME143202_00683	GUT_GENOME040420_00779	GUT_GENOME142411_00927	GUT_GENOME113322_02166	GUT_GENOME113322_00956	GUT_GENOME040420_01286	GUT_GENOME143197_01359	GUT_GENOME143197_01358	GUT_GENOME113322_00041	GUT_GENOME143211_00775	GUT_GENOME143211_02188
GUT_GENOME115272	GUT_GENOME143197_01942,GUT_GENOME113322_01125	GUT_GENOME143211_00825	GUT_GENOME142411_00817	GUT_GENOME143211_00938	GUT_GENOME143202_00767		GUT_GENOME113322_01623	GUT_GENOME142411_00098	GUT_GENOME040420_01290	GUT_GENOME113322_00045	GUT_GENOME143211_01811	GUT_GENOME142411_00994	GUT_GENOME113322_02031	GUT_GENOME115272_01847	GUT_GENOME142411_00100	GUT_GENOME040420_02269	GUT_GENOME115272_00415	GUT_GENOME113322_00037	GUT_GENOME142411_01979	GUT_GENOME113322_00451	GUT_GENOME143197_01313	GUT_GENOME143202_00683	GUT_GENOME040420_00779	GUT_GENOME142411_00927		GUT_GENOME113322_00956	GUT_GENOME040420_01286	GUT_GENOME143197_01359	GUT_GENOME143197_01358	GUT_GENOME113322_00041	GUT_GENOME143211_00775	GUT_GENOME143211_02188
GUT_GENOME034763	GUT_GENOME034763_01043		GUT_GENOME034763_01102	GUT_GENOME275636_01250		GUT_GENOME034763_01713	GUT_GENOME034763_01461	GUT_GENOME034763_01328	GUT_GENOME275636_01432	GUT_GENOME118188_00274	GUT_GENOME118188_00273	GUT_GENOME275636_01441	GUT_GENOME034763_00743	GUT_GENOME275636_01968	GUT_GENOME128042_01415	GUT_GENOME036853_01744	GUT_GENOME128042_00757	GUT_GENOME036853_01663	GUT_GENOME118188_00773	GUT_GENOME286625_00082	GUT_GENOME034763_00371	GUT_GENOME034763_01325	GUT_GENOME015816_00607	GUT_GENOME034763_00734	GUT_GENOME128042_00764	GUT_GENOME275636_00591	GUT_GENOME096259_00070	GUT_GENOME118188_00443	GUT_GENOME019103_00035	GUT_GENOME248086_00886	GUT_GENOME034763_00300	GUT_GENOME128042_00586
GUT_GENOME040420	GUT_GENOME040420_01478,GUT_GENOME142411_00178	GUT_GENOME142411_00471	GUT_GENOME142411_00817	GUT_GENOME142411_02444	GUT_GENOME143202_00767		GUT_GENOME040420_01926	GUT_GENOME142411_00098	GUT_GENOME040420_01290	GUT_GENOME113322_00045	GUT_GENOME040420_01288	GUT_GENOME142411_00994	GUT_GENOME113322_02031	GUT_GENOME115272_01847	GUT_GENOME142411_00100	GUT_GENOME040420_02269	GUT_GENOME115272_00415	GUT_GENOME113322_00037	GUT_GENOME142411_01979	GUT_GENOME113322_00451	GUT_GENOME143197_01313	GUT_GENOME143202_00683	GUT_GENOME040420_00779	GUT_GENOME142411_00927		GUT_GENOME142411_02417	GUT_GENOME040420_01286	GUT_GENOME143197_01359	GUT_GENOME143197_01358	GUT_GENOME113322_00041	GUT_GENOME142411_00531	GUT_GENOME142411_00295
GUT_GENOME143211	GUT_GENOME143197_01942,GUT_GENOME113322_01125	GUT_GENOME143211_00825	GUT_GENOME142411_00817	GUT_GENOME143211_00938	GUT_GENOME143202_00767		GUT_GENOME113322_01623	GUT_GENOME142411_00098	GUT_GENOME040420_01290	GUT_GENOME113322_00045	GUT_GENOME143211_01811	GUT_GENOME142411_00994	GUT_GENOME113322_02031	GUT_GENOME115272_01847	GUT_GENOME142411_00100	GUT_GENOME040420_02269	GUT_GENOME115272_00415	GUT_GENOME113322_00037	GUT_GENOME142411_01979	GUT_GENOME113322_00451	GUT_GENOME143197_01313		GUT_GENOME040420_00779	GUT_GENOME142411_00927		GUT_GENOME113322_00956	GUT_GENOME040420_01286	GUT_GENOME143197_01359	GUT_GENOME143197_01358	GUT_GENOME113322_00041	GUT_GENOME143211_00775	GUT_GENOME143211_02188
GUT_GENOME275636	GUT_GENOME275636_00074	GUT_GENOME275636_01542	GUT_GENOME128042_00588	GUT_GENOME275636_01250	GUT_GENOME275636_02018	GUT_GENOME275636_00272	GUT_GENOME275636_01819	GUT_GENOME275636_01967	GUT_GENOME275636_01432	GUT_GENOME118188_00274	GUT_GENOME118188_00273	GUT_GENOME275636_01441	GUT_GENOME275636_01444	GUT_GENOME275636_01968	GUT_GENOME128042_01415	GUT_GENOME036853_01744	GUT_GENOME128042_00757	GUT_GENOME036853_01663	GUT_GENOME118188_00773	GUT_GENOME275636_01252	GUT_GENOME034763_00371	GUT_GENOME275636_01964	GUT_GENOME275636_01314	GUT_GENOME034763_00734	GUT_GENOME128042_00764	GUT_GENOME275636_00591	GUT_GENOME118188_00275	GUT_GENOME118188_00443	GUT_GENOME019103_00035	GUT_GENOME248086_00886	GUT_GENOME118188_00320	GUT_GENOME128042_00586
GUT_GENOME152364	GUT_GENOME152364_01863,GUT_GENOME152364_00604	GUT_GENOME152364_00079,GUT_GENOME152364_00724	GUT_GENOME152364_00597	GUT_GENOME152364_02334	GUT_GENOME152364_00929		GUT_GENOME152364_02405	GUT_GENOME152364_00118	GUT_GENOME152364_01268	GUT_GENOME152364_01265	GUT_GENOME152364_01266	GUT_GENOME152364_00626	GUT_GENOME152364_00628	GUT_GENOME152364_00117	GUT_GENOME152364_00120	GUT_GENOME152364_00273	GUT_GENOME152364_01276	GUT_GENOME152364_01273	GUT_GENOME152364_02266	GUT_GENOME152364_01823	GUT_GENOME152364_01990	GUT_GENOME152364_00121	GUT_GENOME152364_00497	GUT_GENOME152364_01272		GUT_GENOME152364_00272	GUT_GENOME152364_01264	GUT_GENOME152364_01044	GUT_GENOME152364_01045	GUT_GENOME152364_01269	GUT_GENOME152364_00347	GUT_GENOME152364_00498
GUT_GENOME143197	GUT_GENOME143197_01942,GUT_GENOME113322_01125	GUT_GENOME143197_00761	GUT_GENOME142411_00817	GUT_GENOME143202_02263	GUT_GENOME143202_00767		GUT_GENOME113322_01623	GUT_GENOME142411_00098	GUT_GENOME040420_01290	GUT_GENOME113322_00045	GUT_GENOME040420_01288	GUT_GENOME142411_00994	GUT_GENOME113322_02031	GUT_GENOME115272_01847	GUT_GENOME142411_00100	GUT_GENOME040420_02269	GUT_GENOME115272_00415	GUT_GENOME113322_00037	GUT_GENOME142411_01979	GUT_GENOME113322_00451	GUT_GENOME143197_01313	GUT_GENOME143202_00683	GUT_GENOME040420_00779	GUT_GENOME142411_00927		GUT_GENOME142411_02417	GUT_GENOME040420_01286	GUT_GENOME143197_01359	GUT_GENOME143197_01358	GUT_GENOME113322_00041	GUT_GENOME143211_00775	GUT_GENOME142411_00295
GUT_GENOME018964	GUT_GENOME018964_00458	GUT_GENOME018964_01609		GUT_GENOME018964_01568	GUT_GENOME018964_01811	GUT_GENOME018964_00105	GUT_GENOME018964_01991								GUT_GENOME018964_01019	GUT_GENOME082811_01134			GUT_GENOME018964_01686	GUT_GENOME018964_01566	GUT_GENOME018964_00261	GUT_GENOME018964_01020	GUT_GENOME018964_01588			GUT_GENOME018964_01595					GUT_GENOME018964_01018	GUT_GENOME018964_01589
GUT_GENOME015816	GUT_GENOME015816_00075	GUT_GENOME015816_01357	GUT_GENOME015816_00610	GUT_GENOME275636_01250	GUT_GENOME015816_01825	GUT_GENOME015816_00805	GUT_GENOME034763_01461		GUT_GENOME275636_01432	GUT_GENOME118188_00274	GUT_GENOME118188_00273	GUT_GENOME275636_01441	GUT_GENOME034763_00743			GUT_GENOME015816_01145	GUT_GENOME128042_00757	GUT_GENOME036853_01663	GUT_GENOME118188_00773	GUT_GENOME275636_01252	GUT_GENOME034763_00371		GUT_GENOME015816_00607	GUT_GENOME034763_00734	GUT_GENOME128042_00764	GUT_GENOME286625_00375	GUT_GENOME260051_00330	GUT_GENOME118188_00443	GUT_GENOME019103_00035	GUT_GENOME248086_00886	GUT_GENOME015816_00454	GUT_GENOME015816_00608
GUT_GENOME143202	GUT_GENOME143197_01942,GUT_GENOME113322_01125	GUT_GENOME152364_00724,GUT_GENOME143202_02118	GUT_GENOME142411_00817	GUT_GENOME143202_02263	GUT_GENOME143202_00767		GUT_GENOME113322_01623	GUT_GENOME142411_00098	GUT_GENOME040420_01290	GUT_GENOME113322_00045	GUT_GENOME143211_01811	GUT_GENOME142411_00994	GUT_GENOME113322_02031	GUT_GENOME115272_01847	GUT_GENOME142411_00100	GUT_GENOME040420_02269	GUT_GENOME115272_00415	GUT_GENOME113322_00037	GUT_GENOME142411_01979	GUT_GENOME113322_00451	GUT_GENOME143197_01313	GUT_GENOME143202_00683	GUT_GENOME040420_00779	GUT_GENOME142411_00927		GUT_GENOME142411_02417	GUT_GENOME040420_01286	GUT_GENOME143197_01359	GUT_GENOME143197_01358	GUT_GENOME113322_00041	GUT_GENOME143211_00775	GUT_GENOME142411_00295
